week,player,mentions,sent_mean,sent_pos_share
2,Stephen Curry,51,0.19795882352941177,0.45098039215686275
2,Victor Wembanyama,89,0.21348539325842697,0.5056179775280899
3,Bobby Witt,55,0.17969636363636363,0.4
3,Caitlin Clark,67,0.16056865671641793,0.40298507462686567
3,Cooper Flagg,133,0.16618571428571427,0.3458646616541353
3,Dylan Harper,143,0.20964545454545455,0.44755244755244755
3,Jayson Tatum,77,0.281812987012987,0.5974025974025974
3,LeBron James,63,0.23535396825396826,0.47619047619047616
3,Luka Doncic,98,0.17994591836734697,0.41836734693877553
3,Mike Trout,63,0.19866349206349207,0.3968253968253968
3,Paige Bueckers,54,0.17779444444444448,0.48148148148148145
3,Paul Skenes,77,0.22255974025974026,0.44155844155844154
3,Roman Anthony,62,0.1613209677419355,0.41935483870967744
3,Ronald Acuna,72,0.2659236111111111,0.5416666666666666
3,Shohei Ohtani,151,0.22739337748344368,0.44370860927152317
3,Stephen Curry,44,0.1457659090909091,0.3409090909090909
3,Victor Wembanyama,99,0.16606969696969695,0.36363636363636365
4,Bobby Witt,61,0.23959836065573772,0.4262295081967213
4,Caitlin Clark,69,0.08907246376811594,0.30434782608695654
4,Cooper Flagg,157,0.19426942675159234,0.4012738853503185
4,Dylan Harper,131,0.2494557251908397,0.5038167938931297
4,Jayson Tatum,62,0.1748209677419355,0.46774193548387094
4,LeBron James,58,0.14707586206896553,0.39655172413793105
4,Luka Doncic,124,0.17019435483870968,0.3709677419354839
4,Mike Trout,81,0.2643604938271605,0.49382716049382713
4,Paige Bueckers,76,0.21628289473684212,0.47368421052631576
4,Paul Skenes,81,0.24475432098765432,0.48148148148148145
4,Roman Anthony,65,0.23411076923076923,0.49230769230769234
4,Ronald Acuna,71,0.20555915492957746,0.4788732394366197
4,Shohei Ohtani,161,0.11968198757763977,0.32298136645962733
4,Stephen Curry,47,0.30642978723404257,0.574468085106383
4,Victor Wembanyama,107,0.16527476635514018,0.3925233644859813
5,Bobby Witt,59,0.12802542372881356,0.3898305084745763
5,Caitlin Clark,78,0.15547948717948717,0.4358974358974359
5,Cooper Flagg,145,0.16352206896551724,0.38620689655172413
5,Dylan Harper,118,0.16618898305084745,0.3644067796610169
5,Jayson Tatum,76,0.22408026315789475,0.4868421052631579
5,LeBron James,52,0.20582115384615385,0.4807692307692308
5,Luka Doncic,130,0.20903,0.4076923076923077
5,Mike Trout,88,0.17935454545454546,0.42045454545454547
5,Paige Bueckers,46,0.16802173913043478,0.45652173913043476
5,Paul Skenes,67,0.2828477611940299,0.582089552238806
5,Roman Anthony,98,0.14927653061224488,0.3979591836734694
5,Ronald Acuna,59,0.1096,0.288135593220339
5,Shohei Ohtani,152,0.12833026315789473,0.3157894736842105
5,Stephen Curry,53,0.26002264150943394,0.5283018867924528
5,Victor Wembanyama,101,0.1489811881188119,0.42574257425742573
6,Bobby Witt,52,0.21162307692307694,0.40384615384615385
6,Caitlin Clark,68,0.22044705882352944,0.4411764705882353
6,Cooper Flagg,150,0.21450666666666668,0.44666666666666666
6,Dylan Harper,143,0.1632195804195804,0.36363636363636365
6,Jayson Tatum,71,0.13199295774647887,0.352112676056338
6,LeBron James,58,0.17518965517241378,0.3793103448275862
6,Luka Doncic,121,0.2627082644628099,0.512396694214876
6,Mike Trout,75,0.20707066666666668,0.4666666666666667
6,Paige Bueckers,61,0.20116065573770492,0.4098360655737705
6,Paul Skenes,74,0.18925405405405407,0.40540540540540543
6,Roman Anthony,77,0.18164545454545455,0.4025974025974026
6,Ronald Acuna,62,0.1401774193548387,0.3548387096774194
6,Shohei Ohtani,158,0.21635886075949368,0.45569620253164556
6,Stephen Curry,52,0.1488096153846154,0.2692307692307692
6,Victor Wembanyama,115,0.16988173913043478,0.3826086956521739
7,Bobby Witt,56,0.16309821428571428,0.35714285714285715
7,Caitlin Clark,69,0.1410463768115942,0.36231884057971014
7,Cooper Flagg,124,0.21583145161290324,0.43548387096774194
7,Dylan Harper,118,0.1955508474576271,0.4830508474576271
7,Jayson Tatum,69,0.1517,0.37681159420289856
7,LeBron James,49,0.22596326530612246,0.42857142857142855
7,Luka Doncic,81,0.20187283950617285,0.3950617283950617
7,Mike Trout,67,0.1777,0.3880597014925373
7,Paige Bueckers,61,0.25288360655737707,0.4918032786885246
7,Paul Skenes,69,0.14925797101449276,0.3188405797101449
7,Roman Anthony,78,0.22452564102564104,0.4358974358974359
7,Ronald Acuna,49,0.25780204081632657,0.4489795918367347
7,Shohei Ohtani,123,0.22737967479674798,0.4715447154471545
7,Stephen Curry,39,0.2809923076923077,0.5641025641025641
7,Victor Wembanyama,81,0.2719543209876543,0.5061728395061729
8,Bobby Witt,44,0.2406590909090909,0.5454545454545454
8,Caitlin Clark,68,0.11101617647058824,0.3088235294117647
8,Cooper Flagg,143,0.2645111888111888,0.5244755244755245
8,Dylan Harper,133,0.348696992481203,0.6165413533834586
8,Jayson Tatum,65,0.2248046153846154,0.4
8,LeBron James,51,0.18930392156862746,0.4117647058823529
8,Luka Doncic,111,0.16402792792792792,0.36036036036036034
8,Mike Trout,69,0.2533449275362319,0.5362318840579711
8,Paige Bueckers,52,0.10856346153846155,0.2692307692307692
8,Paul Skenes,64,0.3356296875,0.578125
8,Roman Anthony,69,0.20902608695652175,0.391304347826087
8,Ronald Acuna,70,0.15829428571428572,0.4
8,Shohei Ohtani,146,0.19896301369863015,0.4589041095890411
8,Stephen Curry,60,0.23851166666666668,0.48333333333333334
8,Victor Wembanyama,114,0.1579377192982456,0.39473684210526316
9,Bobby Witt,60,0.21207666666666666,0.48333333333333334
9,Caitlin Clark,82,0.20842439024390247,0.4146341463414634
9,Cooper Flagg,152,0.2566973684210526,0.5
9,Dylan Harper,135,0.3124525925925926,0.6222222222222222
9,Jayson Tatum,76,0.18399736842105263,0.40789473684210525
9,LeBron James,54,0.028890740740740745,0.2777777777777778
9,Luka Doncic,118,0.25525677966101695,0.4745762711864407
9,Mike Trout,73,0.2320890410958904,0.4246575342465753
9,Paige Bueckers,51,0.22164313725490198,0.47058823529411764
9,Paul Skenes,70,0.3244114285714286,0.6857142857142857
9,Roman Anthony,89,0.25357977528089887,0.48314606741573035
9,Ronald Acuna,50,0.1282,0.42
9,Shohei Ohtani,135,0.1649488888888889,0.4
9,Stephen Curry,59,0.17640169491525423,0.4745762711864407
9,Victor Wembanyama,105,0.2084409523809524,0.3619047619047619
10,Bobby Witt,66,0.2672787878787879,0.4393939393939394
10,Caitlin Clark,85,0.15295058823529412,0.43529411764705883
10,Cooper Flagg,165,0.32189454545454543,0.5818181818181818
10,Dylan Harper,181,0.27692983425414364,0.5248618784530387
10,Jayson Tatum,78,0.21554358974358975,0.46153846153846156
10,LeBron James,60,0.2376916666666667,0.4666666666666667
10,Luka Doncic,132,0.2364030303030303,0.4696969696969697
10,Mike Trout,88,0.1471034090909091,0.36363636363636365
10,Paige Bueckers,70,0.2443142857142857,0.5
10,Paul Skenes,110,0.35655000000000003,0.6363636363636364
10,Roman Anthony,98,0.15848775510204083,0.3877551020408163
10,Ronald Acuna,85,0.17548117647058825,0.38823529411764707
10,Shohei Ohtani,166,0.15065180722891566,0.4036144578313253
10,Stephen Curry,62,0.23856774193548386,0.5
10,Victor Wembanyama,139,0.17775035971223022,0.4460431654676259
11,Bobby Witt,67,0.24264328358208956,0.417910447761194
11,Caitlin Clark,69,0.15793478260869565,0.391304347826087
11,Cooper Flagg,138,0.30964565217391304,0.5507246376811594
11,Dylan Harper,125,0.27087680000000003,0.52
11,Jayson Tatum,53,0.1543566037735849,0.39622641509433965
11,LeBron James,54,0.2194722222222222,0.3888888888888889
11,Luka Doncic,114,0.18895526315789474,0.43859649122807015
11,Mike Trout,84,0.15321904761904762,0.38095238095238093
11,Paige Bueckers,60,0.21173999999999998,0.48333333333333334
11,Paul Skenes,84,0.28359880952380956,0.5238095238095238
11,Roman Anthony,86,0.14553372093023256,0.3372093023255814
11,Ronald Acuna,66,0.09522727272727273,0.3181818181818182
11,Shohei Ohtani,103,0.19413495145631066,0.39805825242718446
11,Stephen Curry,57,0.18474912280701752,0.3684210526315789
11,Victor Wembanyama,89,0.2604325842696629,0.5168539325842697
12,Bobby Witt,51,0.18310196078431373,0.43137254901960786
12,Caitlin Clark,61,0.19208360655737705,0.4098360655737705
12,Cooper Flagg,139,0.27028489208633094,0.5323741007194245
12,Dylan Harper,133,0.2702699248120301,0.5488721804511278
12,Jayson Tatum,73,0.2734164383561644,0.5342465753424658
12,LeBron James,52,0.24414038461538462,0.5192307692307693
12,Luka Doncic,121,0.21465867768595043,0.4462809917355372
12,Mike Trout,78,0.19842564102564103,0.46153846153846156
12,Paige Bueckers,51,0.16690980392156862,0.39215686274509803
12,Paul Skenes,87,0.2393862068965517,0.5057471264367817
12,Roman Anthony,77,0.19282337662337662,0.38961038961038963
12,Ronald Acuna,51,0.27727450980392154,0.5490196078431373
12,Shohei Ohtani,141,0.171131914893617,0.46808510638297873
12,Stephen Curry,62,0.18923548387096772,0.45161290322580644
12,Victor Wembanyama,94,0.2082691489361702,0.4574468085106383
13,Bobby Witt,54,0.20863333333333334,0.42592592592592593
13,Caitlin Clark,87,0.29350000000000004,0.5402298850574713
13,Cooper Flagg,148,0.27342905405405404,0.527027027027027
13,Dylan Harper,115,0.2907817391304348,0.5304347826086957
13,Jayson Tatum,56,0.20920714285714287,0.4642857142857143
13,LeBron James,43,0.23085348837209302,0.4186046511627907
13,Luka Doncic,65,0.2971476923076923,0.5076923076923077
13,Mike Trout,73,0.12810547945205478,0.3424657534246575
13,Paige Bueckers,55,0.09225818181818182,0.2545454545454545
13,Paul Skenes,75,0.3419506666666667,0.64
13,Roman Anthony,73,0.22395342465753426,0.4246575342465753
13,Ronald Acuna,56,0.28623392857142854,0.5535714285714286
13,Shohei Ohtani,125,0.20194720000000002,0.392
13,Stephen Curry,46,0.20312391304347827,0.391304347826087
13,Victor Wembanyama,86,0.18448837209302324,0.43023255813953487
14,Bobby Witt,44,0.20120000000000002,0.36363636363636365
14,Caitlin Clark,64,0.11363437500000001,0.34375
14,Cooper Flagg,148,0.29638716216216215,0.5540540540540541
